CSC,PJW,Preiss,UnsignedCSC
7545,6633,22535,7545
99,13408,10443,13983
32517,1756,14238,32517
32630,1805,14479,32630
116,24450,11522,3552
122,16841,6671,17157
116,19842,24088,27454
100,22709,6018,9481
116,9538,27923,17378
116,15329,12246,6095
107,23099,8236,14389
116,32580,7887,6163
116,22694,31551,28958
27420,30771,8512,27420
101,28452,8197,6872
30714,26532,12325,30714
3817,2253,22415,3817
7113,2506,20414,7113
110,29025,21250,31938
115,6381,26153,14388
116,25665,18403,385
7138,2529,20357,7138
117,25258,4356,24310
102,24924,30779,7282
101,1733,27456,11567
116,1812,27471,11546
104,6966,27103,11016
111,6957,27160,10993
116,6940,27639,3926
115,2163,28110,11353
116,12386,2259,8604
6859,2632,20924,6859
122,24784,11842,11622
110,26996,28534,15258
117,26971,28541,15233
116,34500,23683,853
116,8431,6204,16377
122,26960,28738,15462
4023,2427,23069,4023
4925,4118,10429,4925
117,24877,17518,9956
116,23524,13648,4423
7751,6679,22677,7751
30001,5375,33782,30001
116,12406,25791,30544
122,20592,34128,6553
111,17614,27160,11400
122,30412,24954,34811
117,1200,15881,24389
109,23078,3501,10342
122,30882,22013,30407
99,1314,15383,24115
101,32327,22296,8409
116,32310,22311,8392
104,15153,6309,22363
115,32405,22950,8071
116,17021,31153,21191
4714,6716,2475,4714
1173,7489,17760,1173
3338,2750,19408,3338
127,28841,5617,26070
116,13579,11363,29685
101,13973,10732,24419
122,16003,3913,4427
3140,1652,6180,3140
2652,1518,26380,2652
13904,24403,13231,13904
13780,24463,13483,13780
117,27848,8357,27944
116,15596,16042,21884
122,15758,19059,11730
3147,1677,27099,3147
122,32540,12522,13618
102,14638,8441,4585
111,31482,4835,17647
116,27360,27639,18794
100,32652,18898,10893
118,32602,18912,10911
116,10579,23013,10586
104,10407,4300,6086
102,13605,4810,6344
122,24082,11842,22719
118,32698,19552,10719
116,12115,29144,4442
32829,26947,24546,32829
30922,26532,12501,30922
7835,2253,11902,7835
103,8504,17601,10610
110,8380,15581,1248
7849,2267,11916,7849
21809,1558,28046,21809
18256,2343,8514,18256
101,20325,9177,12400
104,32095,20414,24894
111,32118,20357,24869
116,12685,4356,23168
117,22346,3930,31668
17853,2506,9333,17853
111,15541,26426,3767
109,11916,30300,30472
122,8446,23472,27725
116,26085,27639,15322
102,18748,26993,4002
116,7483,28970,22650
122,32926,28738,17504
117,24877,4707,5346
122,12524,12522,12253
102,21344,25880,34433
101,23445,13663,4384
102,23446,13662,4385
116,4656,26326,11264
115,23523,13649,4402
116,5856,27286,10528
116,23524,13648,4403
104,6068,8573,15020
14407,6679,33941,14407
5983,5400,22822,5983
100,1585,13945,22098
117,1536,13960,22115
102,437,5174,30585
104,941,6437,16356
5968,5415,22837,5968
101,5690,24149,2757
104,6909,20414,29779
111,6932,20357,29754
115,5768,24803,3095
117,1840,15048,21571
7243,2701,8654,7243
116,12375,5428,13722
122,23063,32397,29079
102,26387,33593,29355
122,23829,24644,34380
